Waf: Entering directory `/home/jeffrey/Desktop/ns-allinone-3.24.1/ns-3.24.1/build'
[ 860/2454] Compiling scratch/jbmiog.cc
[2416/2454] Linking build/scratch/jbmiog
Waf: Leaving directory `/home/jeffrey/Desktop/ns-allinone-3.24.1/ns-3.24.1/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.273s)
througput_vs_node/AP
nWifis nStas*nWifis nStas averageThroughput dataRatepacketsize
30 30 1 2488.72 11000000bps 512
15 30 2 1658.12 11000000bps 512
10 30 3 1031.63 11000000bps 512
6 30 5 342.073 11000000bps 512
5 30 6 263.152 11000000bps 512
3 30 10 104.011 11000000bps 512
2 30 15 68.0078 11000000bps 512
30 30 1 2339.17 5500000bps 512
15 30 2 1438.41 5500000bps 512
10 30 3 903.348 5500000bps 512
6 30 5 388.244 5500000bps 512
5 30 6 268.553 5500000bps 512
3 30 10 108.244 5500000bps 512
2 30 15 67.3071 5500000bps 512
30 30 1 2044.58 2000000bps 512
15 30 2 1286.79 2000000bps 512
10 30 3 826.024 2000000bps 512
6 30 5 318.106 2000000bps 512
5 30 6 233.782 2000000bps 512
3 30 10 105.704 2000000bps 512
2 30 15 70.6719 2000000bps 512
30 30 1 1025.68 1000000bps 512
15 30 2 1002.27 1000000bps 512
10 30 3 783.428 1000000bps 512
6 30 5 325.972 1000000bps 512
5 30 6 245.001 1000000bps 512
3 30 10 96.9375 1000000bps 512
2 30 15 62.8385 1000000bps 512
payload_vs_node/AP
nWifis nStas*nWifis nStas averageThroughput dataRatepacketsize
30 30 1 4419.12 11000000bps 1472
15 30 2 2209.55 11000000bps 1472
10 30 3 1208.74 11000000bps 1472
6 30 5 291.944 11000000bps 1472
5 30 6 265.434 11000000bps 1472
3 30 10 136.535 11000000bps 1472
2 30 15 74.3456 11000000bps 1472
30 30 1 3702 11000000bps 1000
15 30 2 2145.95 11000000bps 1000
10 30 3 1114.9 11000000bps 1000
6 30 5 326.826 11000000bps 1000
5 30 6 223.75 11000000bps 1000
3 30 10 121.678 11000000bps 1000
2 30 15 76.94 11000000bps 1000
30 30 1 2474.6 11000000bps 500
15 30 2 1629.01 11000000bps 500
10 30 3 994.516 11000000bps 500
6 30 5 394.558 11000000bps 500
5 30 6 261.696 11000000bps 500
3 30 10 110.136 11000000bps 500
2 30 15 65.8806 11000000bps 500
